DEPTH,BVW,KLOGH,PHIF,VSH,DT,GR,NPHI,PEF,RHOB,RT,LITHOLOGY
3355,0.069,0.001,0.069,0.981,,117.786,0.261,6.396,2.545,2.379,Claystone
3355.1,0.064,0.001,0.064,0.976,,117.261,0.259,6.372,2.553,2.296,Claystone
3355.2,0.065,0.001,0.065,0.928,,111.725,0.259,6.358,2.552,2.4,Claystone
3355.3,0.069,0.001,0.069,0.872,,105.265,0.259,6.347,2.545,2.461,Claystone
3355.4,0.072,0.001,0.072,0.86,,103.935,0.256,6.336,2.541,2.492,Claystone
3355.5,0.071,0.001,0.071,0.865,,104.539,0.252,6.335,2.543,2.476,Claystone
3355.6,0.068,0.001,0.068,0.875,,105.612,0.248,6.367,2.547,2.431,Claystone
3355.7,0.066,0.001,0.066,0.854,,103.201,0.247,6.451,2.55,2.341,Claystone
3355.8,0.063,0.001,0.063,0.843,,101.961,0.245,6.558,2.555,2.285,Claystone
3355.9,0.057,0.001,0.057,0.857,,103.607,0.242,6.634,2.565,2.259,Claystone
3356,0.049,0.001,0.049,0.866,,104.554,0.24,6.634,2.579,2.254,Silt
3356.1,0.042,0.001,0.042,0.873,,105.439,0.24,6.558,2.59,2.32,Silt
3356.2,0.04,0.001,0.04,0.869,,104.915,0.243,6.468,2.593,2.28,Silt
3356.3,0.043,0.001,0.043,0.859,,103.73,0.245,6.419,2.588,2.26,Silt
3356.4,0.048,0.001,0.048,0.832,,100.658,0.245,6.406,2.581,2.238,Silt
3356.5,0.052,0.001,0.052,0.818,,99.062,0.242,6.402,2.574,2.204,Silt
3356.6,0.055,0.001,0.055,0.803,,97.33,0.238,6.387,2.569,2.183,Silt
3356.7,0.057,0.001,0.057,0.786,,95.382,0.237,6.369,2.565,2.137,Silt
3356.8,0.057,0.001,0.057,0.777,,94.4,0.238,6.365,2.565,2.163,Silt
3356.9,0.056,0.001,0.056,0.764,,92.814,0.243,6.385,2.568,2.152,Silt
3357,0.054,0.001,0.054,0.75,,91.299,0.248,6.42,2.571,2.176,Silt
3357.1,0.051,0.001,0.051,0.775,,94.123,0.248,6.455,2.576,2.132,Silt
3357.2,0.047,0.001,0.047,0.789,,95.756,0.25,6.439,2.582,2.056,Silt
3357.3,0.045,0.001,0.045,0.771,,93.619,0.256,6.333,2.586,2.036,Silt
3357.4,0.048,0.001,0.048,0.76,,92.436,0.258,6.163,2.581,2.05,Silt
3357.5,0.055,0.001,0.055,0.744,,90.586,0.26,6.003,2.568,2.068,Silt
3357.6,0.06,0.001,0.06,0.743,,91.551,0.26,5.997,2.56,2.056,Silt
3357.7,0.066,0.001,0.066,0.761,,92.518,0.26,5.991,2.551,2.021,Silt
3357.8,0.065,0.001,0.065,0.776,,94.278,0.258,6.13,2.552,2.03,Silt
3357.9,0.062,0.001,0.062,0.781,,94.827,0.256,6.285,2.557,2.034,Silt
3358,0.06,0.001,0.06,0.763,,92.779,0.25,6.409,2.56,2.05,Silt
3358.1,0.061,0.001,0.061,0.763,,92.76,0.251,6.479,2.559,2.052,Silt
3358.2,0.062,0.001,0.062,0.757,,92.104,0.254,6.498,2.557,2.066,Silt
3358.3,0.062,0.001,0.062,0.76,,92.372,0.257,6.485,2.556,2.074,Silt
3358.4,0.061,0.001,0.061,0.761,,92.553,0.257,6.457,2.559,2.084,Silt
3358.5,0.059,0.001,0.059,0.771,,93.704,0.254,6.409,2.561,2.071,Silt
3358.6,0.061,0.001,0.061,0.767,,93.218,0.25,6.33,2.558,2.068,Silt
3358.7,0.065,0.001,0.065,0.755,,91.86,0.244,6.204,2.552,2.071,Silt
3358.8,0.066,0.001,0.066,0.741,,90.201,0.24,6.065,2.55,2.076,Silt
3358.9,0.064,0.001,0.064,0.742,,90.318,0.243,5.959,2.553,2.072,Silt
3359,0.062,0.001,0.062,0.733,,89.246,0.241,5.945,2.557,2.083,Silt
3359.1,0.062,0.001,0.062,0.732,,89.173,0.241,6.039,2.556,2.087,Silt
3359.2,0.064,0.001,0.064,0.737,,89.721,0.242,6.201,2.554,2.089,Silt
3359.3,0.063,0.001,0.063,0.75,,91.269,0.239,6.365,2.555,2.097,Silt
3359.4,0.061,0.001,0.061,0.745,,90.676,0.243,6.489,2.559,2.113,Silt
3359.5,0.059,0.001,0.059,0.751,,91.402,0.246,6.548,2.562,2.059,Silt
