DEPTH,BVW,KLOGH,PHIF,VSH,DT,GR,NPHI,PEF,RHOB,RT,LITHOLOGY
2910.08382,1,0.001,0.001,0,73.92030334,8.459199905,0.409799993,0,1.747200012,5.707099915,Limestone
2910.23622,0.0097,72122.85156,0.420599997,0.056299999,73.43630219,8.459199905,0.411300004,0,1.932299972,1000,Limestone
2910.388621,1,0.001,0.001,0.051399998,73.1167984,7.988900185,0.364899993,0,1.896600008,4.448800087,Limestone
2910.541021,0.0425,33362.39063,0.390100002,0.066399999,72.46150208,9.444399834,0.35769999,0,1.958500028,25.61569977,Limestone
2910.693421,1,0.001,0.001,0.067100003,73.0306015,9.512900352,0.360799998,0,1.866000056,0.132100001,Limestone
2910.845822,1,0.001,0.001,0.075999998,74.30570221,10.36740017,0.403200001,0,1.724699974,1000,Limestone
2910.998222,1,0.001,0.001,0.0614,74.65720367,8.958499908,0.412999988,0,1.662099957,1000,Limestone
2911.150622,1,0.001,0.001,0.062600002,73.88050079,9.072299957,0.375499994,0,1.794399977,911.0681152,Limestone
2911.303023,1,0.001,0.001,0.057399999,72.81300354,8.567199707,0.363999993,0,1.544999957,9.42179966,Limestone
2911.455423,0.0085,3474.085938,0.255299985,0.0557,72.85890198,8.402000427,0.322699994,0,2.203299999,1000,Limestone
2911.607823,1,0.001,0.001,0.049199998,73.72319794,7.767799854,0.482199997,0,1.429499984,0.213200003,Limestone
2911.760224,0.008,1617.409058,0.198599994,0.042199999,72.90679932,7.097799778,0.309799999,0,2.302400112,1000,Limestone
2911.912624,0,0,0,0.042399999,73.08350372,7.108200073,0.281300008,0,2.774399996,0.113600001,Limestone
2912.065024,0.097199999,165.5299988,0.097199999,0.062100001,72.707901,9.021800041,0.291799992,0,2.479899883,0.237399995,Limestone
2912.217424,0.067900002,1959.649048,0.269600004,0.096100003,71.38559723,12.31869984,0.4375,0,2.178200006,6.531000137,Limestone
2912.369825,0.0089,1800.43103,0.292199999,0.120200001,71.14640045,14.66149998,0.47389999,0,2.138700008,1000,Limestone
2912.522225,0.0094,5340.672852,0.357300013,0.125599995,71.61060333,15.18700027,0.377700001,0,2.0776999,1000,Limestone
2912.674625,0.0091,3417.322998,0.320100009,0.114100002,72.0266037,14.06620026,0.3037,0,2.099999905,1000,Limestone
2912.827026,0.069300003,3392.459961,0.31279999,0.108000003,72.33249664,13.47609997,0.289600015,0,2.104599953,6.832499981,Limestone
2912.979426,0.116599999,4858.812012,0.322400004,0.099200003,72.74250031,12.62510014,0.320300013,0,2.112400055,1.938899994,Limestone
2913.131826,0.127599999,4638.268066,0.317799985,0.0973,72.65419769,12.44019985,0.310499996,0,2.114599943,1.538300037,Limestone
2913.284227,0.125799999,3788.408936,0.314999998,0.104599997,72.70709991,13.14529991,0.316700011,0,2.130000114,1.589599967,Limestone
2913.436627,0.120200001,2461.427002,0.297500014,0.109899998,74.10220337,13.65789986,0.288599998,0,2.148099899,1.719300032,Limestone
2913.589027,0.114600003,1876.666992,0.286300004,0.112999998,75.0891037,13.96459961,0.273099989,0,2.16260004,1.889999986,Limestone
2913.741427,0.112899996,2926.504883,0.294,0.098399997,75.16110229,12.54119968,0.272100002,0,2.139300108,1.980100036,Limestone
2913.893828,0.112400003,3618.952881,0.299699992,0.0933,74.18509674,12.04660034,0.281199992,0,2.132999897,2.024699926,Limestone
2914.046228,0.113799997,3308.587891,0.306899995,0.104000002,73.47290039,13.08689976,0.291599989,0,2.12409997,1.999500036,Limestone
2914.198628,0.116700001,2140.699951,0.297600001,0.116700001,73.36660004,14.31879997,0.283199996,0,2.141599894,1.852200031,Limestone
